Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.023     0.000     0.000     0.023        1   ActiveRecord::QueryMethods#build_arel 
  0.05      0.000     0.000     0.000     0.000       25   Enumerable#any? 
  0.05      0.000     0.000     0.000     0.000       54   NilClass#to_s 
  0.05      0.000     0.000     0.000     0.000        8   Arel::Table#initialize 
  0.05      0.000     0.000     0.000     0.000       11   Module#parents 
  0.05      0.000     0.000     0.000     0.000       25   <Class::ActiveSupport::Callbacks::Callback>#build 
  0.05      0.000     0.000     0.000     0.000       19   <Module::QualifiedConstUtils>#raise_if_absolute 
  0.05      0.000     0.000     0.000     0.000       11   Module#parent 
  0.05      0.055     0.000     0.000     0.055        1   ActiveRecord::Relation#exec_queries 
  0.05      0.001     0.000     0.000     0.001       21  *ActiveRecord::ModelSchema::ClassMethods#table_name 
  0.04      0.000     0.000     0.000     0.000       12   ActiveSupport::Concern#included 
  0.04      0.001     0.000     0.000     0.001        4   ActiveRecord::ModelSchema::ClassMethods#reset_table_name 
  0.04      0.000     0.000     0.000     0.000        8   ActiveRecord::Associations::Builder::Association#initialize 
  0.04      0.000     0.000     0.000     0.000       17   Regexp#to_s 
  0.04      0.000     0.000     0.000     0.000       40   Array#first 
  0.04      0.001     0.000     0.000     0.001       11   ActiveSupport::Dependencies#search_for_file 
  0.04      0.000     0.000     0.000     0.000       12   <Class::ActiveRecord::Base>#time_zone_aware_attributes 
  0.04      0.000     0.000     0.000     0.000        8   IO#set_encoding 
  0.04      0.000     0.000     0.000     0.000        6   ActiveRecord::AttributeMethods::TimeZoneConversion::ClassMethods#define_method_attribute= 
  0.04      0.014     0.000     0.000     0.014       25  *ActiveSupport::Inflector#constantize 
  0.04      0.000     0.000     0.000     0.000       11   ActiveSupport::Dependencies#qualified_name_for 
  0.04      0.000     0.000     0.000     0.000        4   ActiveRecord::ModelSchema::ClassMethods#table_name= 
  0.04      0.000     0.000     0.000     0.000       10   ActiveRecord::Reflection::AssociationReflection#validate? 
  0.04      0.000     0.000     0.000     0.000        4   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.04      0.000     0.000     0.000     0.000        8   <Module::ActiveRecord::Reflection>#add_reflection 
  0.04      0.001     0.000     0.000     0.001        8   <Class::ActiveRecord::Base>#before_save 
  0.04      0.000     0.000     0.000     0.000       17   String#downcase! 
  0.04      0.000     0.000     0.000     0.000        8   <Class::File>#expand_path 
  0.04      0.000     0.000     0.000     0.000       18   Regexp#=~ 
  0.04      0.000     0.000     0.000     0.000       24   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.04      0.005     0.000     0.000     0.005       12  *Mutex#synchronize 
  0.04      0.000     0.000     0.000     0.000       19   <Module::QualifiedConstUtils>#names 
  0.04      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Associations::Builder::Association>#define_writers 
  0.04      0.000     0.000     0.000     0.000       14   ActiveSupport::Callbacks::CallbackChain#prepend_one 
  0.04      0.000     0.000     0.000     0.000       13   <Class::ActiveRecord::Base>#connection_handler 
